FOOD COMMODITY GROUP,Food commodity ITEM,Food commodity TYPOLOGY,Food commodity sub-TYPOLOGY,final_co2,final_wfp
AGRICULTURAL PROCESSED,ALMOND MILK,VEGETAL MILK,-,"0,54",2030
AGRICULTURAL PROCESSED,APPLE JUICE ( ),FRUIT JUICE (imported ingredients),-,"2,86",1140
AGRICULTURAL PROCESSED,AZUKI BEAN FLOUR,LEGUME FLOUR,-,"1,32",2523
AGRICULTURAL PROCESSED,BARLEY FLAKES,BREAKFAST CEREALS,-,"2,64",1977
AGRICULTURAL PROCESSED,BEANS ( F ),LEGUMES FROZEN,-,"2,26",801
AGRICULTURAL PROCESSED,BEANS,LEGUMES CANNED,-,"0,78","555,5"
AGRICULTURAL PROCESSED,BEER,BEER,-,"0,69",155
AGRICULTURAL PROCESSED,BEER GLASS,BEER,-,"0,96",155
AGRICULTURAL PROCESSED,BEER MODULAR,BEER,-,"0,53",155
AGRICULTURAL PROCESSED,BEER ,BEER*,-,"0,69",155
AGRICULTURAL PROCESSED,BEET SUGAR,SUGAR,-,"0,94",865
AGRICULTURAL PROCESSED,BLUEBERRY JUICE ( ),FRUIT JUICE (imported ingredients),-,"2,86",1019
AGRICULTURAL PROCESSED,BREAD,BREAD,-,"0,86",667
AGRICULTURAL PROCESSED,BREAD MULTICEREAL,BREAD,-,"0,86",902
AGRICULTURAL PROCESSED,BREAD PLAIN,BREAD,-,"0,89",1031
AGRICULTURAL PROCESSED,BREAD WHOLE,BREAD,-,"0,77",887
AGRICULTURAL PROCESSED,BUCKWHEAT FLOUR,GRAIN FLOUR,-,"0,87","1889,5"
AGRICULTURAL PROCESSED,CAKES CROISSANT,SWEETS,-,"2,14",1640
AGRICULTURAL PROCESSED,CANE MOLASSE,SUGAR,-,"0,78",527
AGRICULTURAL PROCESSED,CANE SUGAR,SUGAR,-,"0,62",1724
AGRICULTURAL PROCESSED,CARROTS ( F ),VEGETABLES FROZEN,-,"0,81","750,5"
AGRICULTURAL PROCESSED,CARROTS CANNED,VEGETABLES CANNED,-,"1,48","806,6"
AGRICULTURAL PROCESSED,CHOCOLATE CREAM FILLED COOKIES,BISCUITS,-,"1,53",2902
AGRICULTURAL PROCESSED,COCOA BUTTER,COCOA DERIVATES,-,"3,16",33938
AGRICULTURAL PROCESSED,COCOA CAKES CROISSANT,SWEETS,-,"1,94",3468
AGRICULTURAL PROCESSED,COCOA PASTE,COCOA DERIVATES,-,"3,16",24238
AGRICULTURAL PROCESSED,COCOA POWDER,COCOA DERIVATES,-,"3,16",15618
AGRICULTURAL PROCESSED,COCONUT MILK,VEGETAL MILK,-,"0,54",2030
AGRICULTURAL PROCESSED,COCONUT OIL,OIL,-,"2,11",4490
AGRICULTURAL PROCESSED,COFFEE DRIP FILTERED ( L ),COFFEE LIQUID,-,"0,55",960
AGRICULTURAL PROCESSED,COFFEE GROUND,COFFEE GROUND & PARCHMENT,-,"6,71",19956
AGRICULTURAL PROCESSED,COFFEE PARCHMENT,COFFEE GROUND & PARCHMENT,-,"8,29",19956
AGRICULTURAL PROCESSED,COFFEE ROASTED,COFFEE GROUND & PARCHMENT* (coffee roasted),-,"6,71",19956
AGRICULTURAL PROCESSED,COFFEE SOLUBLE,COFFEE LIQUID,-,"0,55",960
AGRICULTURAL PROCESSED,COFFEE SOLUBLE POWDER ( L ),COFFEE LIQUID,-,"0,55",960
AGRICULTURAL PROCESSED,COFFEE STANDARD,COFFEE LIQUID,-,"0,55",960
AGRICULTURAL PROCESSED,COFFEE STRONG,COFFEE LIQUID,-,"0,55",960
AGRICULTURAL PROCESSED,COFFEE WEAK,COFFEE LIQUID,-,"0,55",960
AGRICULTURAL PROCESSED,CORN CANNED,VEGETABLES CANNED,-,"1,48",807
AGRICULTURAL PROCESSED,CORNFLAKES,BREAKFAST CEREALS* (cornflakes),-,"2,64","2196,5"
AGRICULTURAL PROCESSED,CRANBERRY JUICE ( ),FRUIT JUICE (imported ingredients),-,"2,86",1019
AGRICULTURAL PROCESSED,CRISPBREAD,CRISPBREAD**,-,"1,35",1423
AGRICULTURAL PROCESSED,CHOCOLATE,CHOCOLATE,-,"3,16",20717
AGRICULTURAL PROCESSED,DRIED CASSAVA,STARCHY TUBER,-,"0,27",1610
AGRICULTURAL PROCESSED,DURUM WHEAT,GRAIN FLOUR,-,"0,47","1889,5"
AGRICULTURAL PROCESSED,EGG PASTA ,EGG PASTA*,-,"3,15",4637
AGRICULTURAL PROCESSED,ESPRESSO ( L ),COFFEE LIQUID,-,"0,55",960
AGRICULTURAL PROCESSED,FIG JUICE ( ),FRUIT JUICE (imported ingredients),-,"2,86",1019
AGRICULTURAL PROCESSED,FLAVORED CRACKERS,CRACKERS,-,"0,93",1378
AGRICULTURAL PROCESSED,FRUCTOSE,SUGAR,-,"0,78",1782
AGRICULTURAL PROCESSED,GRAHAM FLOUR,GRAIN FLOUR,-,"0,87","1889,5"
AGRICULTURAL PROCESSED,GRAPEFRUIT JUICE,JUICE,-,"2,86",675
AGRICULTURAL PROCESSED,BEANS ( F ),LEGUMES FROZEN,-,"2,26","555,5"
AGRICULTURAL PROCESSED,BEANS,LEGUMES CANNED,-,"0,78","555,5"
AGRICULTURAL PROCESSED,KETCHUP,DRESSING,-,"1,46",534
AGRICULTURAL PROCESSED,KIWI JUICE ( ),FRUIT JUICE (imported ingredients),-,"2,86",1019
AGRICULTURAL PROCESSED,LINSEED OIL,OIL,-,"2,11",9415
AGRICULTURAL PROCESSED,MAIZE FLOUR,GRAIN FLOUR,-,"0,87","1889,5"
AGRICULTURAL PROCESSED,MAIZE FLOUR & MEAL,GRAIN FLOUR,-,"0,87",1167
AGRICULTURAL PROCESSED,MAIZE GROATS,"PROCESSED GRAINS (grouts, malt)",-,"0,57",1081
AGRICULTURAL PROCESSED,"MAIZE HULLED , PEARLED , SLICED KIBBLED","PROCESSED GRAINS (grouts, malt)",-,"0,57",1314
AGRICULTURAL PROCESSED,MAIZE OIL,OIL,-,"2,11",2575
AGRICULTURAL PROCESSED,MALT,"PROCESSED GRAINS (grouts, malt)",-,"0,57",1950
AGRICULTURAL PROCESSED,"MALT , ROASTED","PROCESSED GRAINS (grouts, malt)",-,"0,57",2437
AGRICULTURAL PROCESSED,MANGO JUICE ( ),FRUIT JUICE (imported ingredients),-,"2,86",1019
AGRICULTURAL PROCESSED,MARGARINE ,MARGARINE*,-,"1,39",1324
AGRICULTURAL PROCESSED,MAYONNAISE,DRESSING,-,"1,46",572
AGRICULTURAL PROCESSED,MILK CHOCOLATE,CHOCOLATE,-,"3,16",20717
AGRICULTURAL PROCESSED,MILLET FLOUR,GRAIN FLOUR,-,"0,87","1889,5"
AGRICULTURAL PROCESSED,VEGETABLES ( F ),VEGETABLES FROZEN,-,"0,81",339
AGRICULTURAL PROCESSED,MUNG BEAN FLOUR,LEGUME FLOUR,-,"1,32",2523
AGRICULTURAL PROCESSED,OAT FLAKES,BREAKFAST CEREALS,-,"2,64",2416
AGRICULTURAL PROCESSED,OAT GROATS,"PROCESSED GRAINS (grouts, malt)",-,"0,57",2536
AGRICULTURAL PROCESSED,OAT MEAL,GRAIN FLOUR,-,"0,87",2536
AGRICULTURAL PROCESSED,OLIVE OIL,OIL,-,"3,27",14415
AGRICULTURAL PROCESSED,OLIVE OIL REFINED,OIL,-,"2,11",14726
AGRICULTURAL PROCESSED,ORANGE JUICE,FRUIT JUICE LOCAL,-,"0,46",1019
AGRICULTURAL PROCESSED,PALM OIL,OIL,-,"2,43",4971
AGRICULTURAL PROCESSED,PASTA ,PASTA*,-,"1,21",1508
AGRICULTURAL PROCESSED,PEANUT OIL,OIL,-,"2,11",7529
AGRICULTURAL PROCESSED,PEAR JUICE,FRUIT JUICE LOCAL,-,"0,48",1019
AGRICULTURAL PROCESSED,PEAS ( F ),VEGETABLES FROZEN,-,"0,81",850
AGRICULTURAL PROCESSED,PESTO,PESTO,-,"2,72",2174
AGRICULTURAL PROCESSED,PESTO WITHOUT GARLIC,PESTO,-,"2,72",2174
AGRICULTURAL PROCESSED,PINEAPPLE JUICE ( ),FRUIT JUICE (imported ingredients),-,"2,86",1273
AGRICULTURAL PROCESSED,PLAIN CRACKERS,CRACKERS,-,"1,35",1447
AGRICULTURAL PROCESSED,POTATO FLAKES,STARCHY TUBER,-,"0,27",1044
AGRICULTURAL PROCESSED,POTATOES ( F ),VEGETABLES FROZEN,-,"0,81",575
AGRICULTURAL PROCESSED,QUORNE,VEGETAL PROTEINS,-,"2,27",1724
AGRICULTURAL PROCESSED,RAPESEED OIL,OIL,-,"1,79",4301
AGRICULTURAL PROCESSED,RASPBERRIES ( F ),FRUIT FROZEN* (raspberry),-,"1,18",748
AGRICULTURAL PROCESSED,RICE FLOUR & MEAL,GRAIN FLOUR,-,"0,87",2429
AGRICULTURAL PROCESSED,RICE GROATS,"PROCESSED GRAINS (grouts, malt)",-,"0,57",2230
AGRICULTURAL PROCESSED,RICE MILK,VEGETAL MILK,-,"0,54",2030
AGRICULTURAL PROCESSED,RYE FLOUR,GRAIN FLOUR,-,"0,87",1930
AGRICULTURAL PROCESSED,SESAM OIL,OIL,-,"2,11",21793
AGRICULTURAL PROCESSED,SIMPLE COOKIES,BISCUITS,-,"1,39",1723
AGRICULTURAL PROCESSED,SORGHUM FLOUR,GRAIN FLOUR,-,"0,87","1889,5"
AGRICULTURAL PROCESSED,SOY BURGER,VEGETAL PROTEINS,-,"2,27",1053
AGRICULTURAL PROCESSED,SOY MEAL,LEGUME FLOUR,-,"1,32",2523
AGRICULTURAL PROCESSED,SOY MILK,VEGETAL MILK,-,"0,78",2030
AGRICULTURAL PROCESSED,SOY PASTE,DRESSING,-,"1,46",572
AGRICULTURAL PROCESSED,SOY SAUCE,DRESSING,-,"1,46",613
AGRICULTURAL PROCESSED,SOYBEAN FLOUR,LEGUME FLOUR,-,"1,32",2523
AGRICULTURAL PROCESSED,SOYBEAN OIL,OIL,-,"1,79",4190
AGRICULTURAL PROCESSED,SPINACH ( F ),VEGETABLES FROZEN,-,"0,81",834
AGRICULTURAL PROCESSED,STRAWBERRY JUICE ( ),FRUIT JUICE (imported ingredients),-,"2,86",1019
AGRICULTURAL PROCESSED,SUNFLOWER OIL,OIL,-,"0,98",6792
AGRICULTURAL PROCESSED,CORN ( F ),VEGETABLES FROZEN,-,"0,81",700
AGRICULTURAL PROCESSED,TAPIOCA CASSAVA,STARCHY TUBER,-,"0,27",2818
AGRICULTURAL PROCESSED,TAPIOCA POTATOES,STARCHY TUBER,-,"0,27",1436
AGRICULTURAL PROCESSED,TEMPE ',DRESSING,-,"1,46",572
AGRICULTURAL PROCESSED,TOFU,VEGETAL PROTEINS,-,"2,27",1724
AGRICULTURAL PROCESSED,TOMATO & BASIL,TOMATO SAUCE,-,"1,14",147
AGRICULTURAL PROCESSED,TOMATO ARRABBIATA,TOMATO SAUCE,-,"1,24",155
AGRICULTURAL PROCESSED,TOMATO CHOPPED,"TOMATO PUREE,PEELED, CHOPPED",-,"1,47",713
AGRICULTURAL PROCESSED,TOMATO JUICE,JUICE,-,"2,86",267
AGRICULTURAL PROCESSED,TOMATO PASTE,"TOMATO PUREE,PEELED, CHOPPED",-,"1,30",855
AGRICULTURAL PROCESSED,TOMATO PEELED,"TOMATO PUREE,PEELED, CHOPPED",-,"1,3",267
AGRICULTURAL PROCESSED,TOMATO PUREE,"TOMATO PUREE,PEELED, CHOPPED",-,"1,03",713
AGRICULTURAL PROCESSED,WHEAT FLOUR,GRAIN FLOUR,-,"0,87",1849
AGRICULTURAL PROCESSED,WHEAT GLUTEN,"PROCESSED GRAINS (grouts, malt)",-,"0,57",4189
AGRICULTURAL PROCESSED,WHEAT PELLETS,"PROCESSED GRAINS (grouts, malt)",-,"0,57",2036
AGRICULTURAL PROCESSED,WHEAT PLAIN FLOUR,GRAIN FLOUR,-,"0,52","1889,5"
AGRICULTURAL PROCESSED,WHEAT FLOUR,GRAIN FLOUR,-,"0,36","1889,5"
AGRICULTURAL PROCESSED,WHOLEGRAIN CRACKERS ,CRACKERS,-,"0,97",617
AGRICULTURAL PROCESSED,WINE RED,WINE,-,"0,87",524
AGRICULTURAL PROCESSED,WINE WHITE,WINE,-,"0,66",524
AGRICULTURAL PROCESSED,WINE,WINE*,-,"0,66",524
AGRICULTURAL PROCESSED,YEAST COMPRESSED,YEAST COMPRESSED*,-,"0,82",51
AGRICULTURAL PROCESSED,ZUCCHINI ( F ),VEGETABLES FROZEN,-,"0,81","750,5"
ANIMAL HUSBANDRY,ASIAGO,CHEESE HARD & SEMI-HARD,-,"9,59",5253
ANIMAL HUSBANDRY,BACON,PORK CURED MEAT,-,"5,99",6116
ANIMAL HUSBANDRY,BEEF MEAT BONE ,BEEF MEAT WITH BONE*,-,"17,96",10943
ANIMAL HUSBANDRY,BUFFALO MILK,MILK,-,"3,57",1599
ANIMAL HUSBANDRY,BUTTER ,BUTTER*,-,"8,48",5659
ANIMAL HUSBANDRY,BUTTERED MILK,MILK,-,"1,44",1599
ANIMAL HUSBANDRY,CAMEMBERT,CHEESE HARD & SEMI-HARD,-,"9,59",5253
ANIMAL HUSBANDRY,CEDDAR,CHEESE HARD & SEMI-HARD,-,"11,21",5253
ANIMAL HUSBANDRY,CHEESE,CHEESE HARD & SEMI-HARD,-,"8,93",5253
ANIMAL HUSBANDRY,CHEESE BLUE - VEINED,CHEESE,-,"9,59",5060
ANIMAL HUSBANDRY,CHEESE GRATED,CHEESE,-,"9,59",5060
ANIMAL HUSBANDRY,CHEESE SEMI -,CHEESE HARD & SEMI-HARD,-,"9,59",5253
ANIMAL HUSBANDRY,CHICKEN BONE FREE MEAT,POULTRY BONE FREE MEAT,-,"3,68",3960
ANIMAL HUSBANDRY,CHICKEN MEAT BONE,POULTRY MEAT WITH BONE,-,"2,82",3330
ANIMAL HUSBANDRY,COW MILK,MILK,-,"1,31","1260,5"
ANIMAL HUSBANDRY,CREAM,CHEESE FRESH,-,"5,45",3838
ANIMAL HUSBANDRY,CURED HAM BONE FREE,PORK CURED MEAT,-,"5,99",6177
ANIMAL HUSBANDRY,CURED HAM BONE,PORK CURED MEAT,-,"5,99",5798
ANIMAL HUSBANDRY,CURED PORK BONE FREE,PORK CURED MEAT,-,"5,99",6238
ANIMAL HUSBANDRY,SHOULDERS BONE,PORK CURED MEAT,-,"5,99",5798
ANIMAL HUSBANDRY,DUCK BONE FREE MEAT,POULTRY BONE FREE MEAT,-,"3,88",4325
ANIMAL HUSBANDRY,DUCK MEAT BONE FREE ,POULTRY BONE FREE MEAT,-,"3,88",4325
ANIMAL HUSBANDRY,DUCK MEAT BONE,POULTRY MEAT WITH BONE,-,"2,13","3330,3"
ANIMAL HUSBANDRY,EGG YOLKS,EGGS & DERIVATES,-,"3,20",3270
ANIMAL HUSBANDRY,EGGS SHELLED,EGGS & DERIVATES,-,"3,20",3632
ANIMAL HUSBANDRY,EGGS,EGGS*,-,"3,20",2562
ANIMAL HUSBANDRY,EMMENTAL,CHEESE HARD & SEMI-HARD,-,"9,59",5253
ANIMAL HUSBANDRY,EMU BONE FREE MEAT,POULTRY BONE FREE MEAT,-,"3,88",4325
ANIMAL HUSBANDRY,FRESH HAM BONE,PORK MEAT WITH BONE,-,"3,44",5677
ANIMAL HUSBANDRY,SHOULDERS BONE,PORK MEAT WITH BONE,-,"3,44",5677
ANIMAL HUSBANDRY,GOAT CHEESE,CHEESE HARD & SEMI-HARD,-,"9,59",5253
ANIMAL HUSBANDRY,GOAT MILK,MILK,-,"1,44",1599
ANIMAL HUSBANDRY,GOOSE BONE FREE MEAT,POULTRY BONE FREE MEAT,-,"3,88",4325
ANIMAL HUSBANDRY,GRAN MORAVIA,CHEESE,-,"9,59",5253
ANIMAL HUSBANDRY,GRANA PADANO,CHEESE HARD & SEMI-HARD,-,"9,59",5253
ANIMAL HUSBANDRY,GUINEA BONE FREE MEAT,POULTRY BONE FREE MEAT,-,"3,88",4325
ANIMAL HUSBANDRY,HARD SEMI - CHEESE,CHEESE,-,"9,59",5253
ANIMAL HUSBANDRY,KEPHIR,MILK,-,"1,44",1599
ANIMAL HUSBANDRY,LAMB BONE FREE MEAT,LAMB BONE FREE MEAT*,-,"25,23",10412
ANIMAL HUSBANDRY,LAMB MEAT BONE,LAMB MEAT WITH BONE*,-,"16,70",4362
ANIMAL HUSBANDRY,MASCARPONE,CHEESE FRESH,-,"5,45",5253
ANIMAL HUSBANDRY,MEALWORMS,EDIBLE INSECTS* (mealworms),-,"2,84",4341
ANIMAL HUSBANDRY,MILK ACID,MILK,-,"1,44",1599
ANIMAL HUSBANDRY,MILK CREAMY,MILK,-,"1,44",1898
ANIMAL HUSBANDRY,MOZZARELLA,CHEESE FRESH,-,"8,20",5253
ANIMAL HUSBANDRY,NECK,PORK CURED MEAT,-,"5,99",6177
ANIMAL HUSBANDRY,PARMIGIANO REGGIANO,CHEESE HARD & SEMI-HARD,-,"9,59",5253
ANIMAL HUSBANDRY,PECORINO,CHEESE HARD & SEMI-HARD,-,"9,59",5253
ANIMAL HUSBANDRY,PORK BONE FREE MEAT,PORK BONE FREE MEAT*,-,"5,72",6299
ANIMAL HUSBANDRY,PORK CUTS BONE,PORK MEAT WITH BONE,-,"3,44",5798
ANIMAL HUSBANDRY,PORK HAM,PORK CURED MEAT,-,"7,95",6177
ANIMAL HUSBANDRY,PORK MEAT BONE,PORK MEAT WITH BONE*,-,"3,44",4361
ANIMAL HUSBANDRY,PORK SAUSAGES,PORK CURED MEAT,-,"5,99",6177
ANIMAL HUSBANDRY,RICOTTA,CHEESE FRESH,-,"5,45","2470,5"
ANIMAL HUSBANDRY,SAUSAGES,PORK CURED MEAT,-,"5,99",6177
ANIMAL HUSBANDRY,STRACCHINO,CHEESE FRESH,-,"5,45",5253
ANIMAL HUSBANDRY,TURKEY BONE FREE MEAT,POULTRY BONE FREE MEAT,-,"3,88",4325
ANIMAL HUSBANDRY,TURKEY MEAT BONE FREE,POULTRY BONE FREE MEAT,-,"4,08",4325
ANIMAL HUSBANDRY,TURKEY MEAT BONE,POULTRY MEAT WITH BONE,-,"2,13","3330,3"
ANIMAL HUSBANDRY,YOGURT FLAVORED,YOGURT,-,"2,55",1540
ANIMAL HUSBANDRY,YOGURT FLAVOURED,YOGURT,-,"2,85",1540
ANIMAL HUSBANDRY,YOGURT LACTOSE FREE,YOGURT,-,"3,47",1540
ANIMAL HUSBANDRY,YOGURT WHITE,YOGURT,-,"1,69",1540
ANIMAL HUSBANDRY,YOGURT WHITE LACTOSE FREE,YOGURT,-,"2,55",1040
